[2026-02-06 13:58:41.559][GPIO 3] [3158262480] LEVEL: 1 | EDGE: 1
[2026-02-06 13:58:48.008][GPIO 3] [3164713664] LEVEL: 0 | EDGE: 0
[2026-02-06 14:05:03.616][GPIO 3] [3540336161] LEVEL: 1 | EDGE: 1
[2026-02-06 14:05:10.890][GPIO 3] [3547605514] LEVEL: 0 | EDGE: 0
[2026-02-06 14:31:45.821][GPIO 3] [5142560927] LEVEL: 1 | EDGE: 1
[2026-02-06 14:31:56.563][GPIO 3] [5153312555] LEVEL: 0 | EDGE: 0
[2026-02-06 14:43:19.200][GPIO 3] [5835945400] LEVEL: 1 | EDGE: 1
[2026-02-06 14:43:34.560][GPIO 3] [5851304504] LEVEL: 0 | EDGE: 0
[2026-02-06 16:27:59.209][GPIO 3] [12116130248] LEVEL: 1 | EDGE: 1
[2026-02-06 16:28:06.582][GPIO 3] [12123504844] LEVEL: 0 | EDGE: 0
[2026-02-06 16:30:23.900][GPIO 3] [12260829147] LEVEL: 1 | EDGE: 1
[2026-02-06 16:30:40.079][GPIO 3] [12277009707] LEVEL: 0 | EDGE: 0
[2026-02-06 17:28:59.228][GPIO 3] [15776284040] LEVEL: 1 | EDGE: 1
