[2026-02-15 15:29:44.843][GPIO 3] [29131629] LEVEL: 1 | EDGE: 1
[2026-02-15 15:29:54.641][GPIO 3] [39017735] LEVEL: 0 | EDGE: 0
[2026-02-15 15:30:04.607][GPIO 3] [48904263] LEVEL: 1 | EDGE: 1
[2026-02-15 15:30:14.539][GPIO 3] [58790311] LEVEL: 0 | EDGE: 0
[2026-02-15 15:30:24.370][GPIO 3] [68675409] LEVEL: 1 | EDGE: 1
[2026-02-15 15:30:34.302][GPIO 3] [78562183] LEVEL: 0 | EDGE: 0
[2026-02-15 15:30:44.133][GPIO 3] [88450143] LEVEL: 1 | EDGE: 1
[2026-02-15 15:30:54.066][GPIO 3] [98338400] LEVEL: 0 | EDGE: 0
[2026-02-15 15:31:03.896][GPIO 3] [108226283] LEVEL: 1 | EDGE: 1
[2026-02-15 15:31:23.629][GPIO 3] [13993095] LEVEL: 1 | EDGE: 1
[2026-02-15 15:31:33.593][GPIO 3] [23880403] LEVEL: 0 | EDGE: 0
[2026-02-15 15:31:43.525][GPIO 3] [33768114] LEVEL: 1 | EDGE: 1
[2026-02-15 15:31:53.355][GPIO 3] [43656289] LEVEL: 0 | EDGE: 0
[2026-02-15 15:32:03.288][GPIO 3] [53544749] LEVEL: 1 | EDGE: 1
[2026-02-15 15:32:13.118][GPIO 3] [63433018] LEVEL: 0 | EDGE: 0
[2026-02-15 15:32:22.941][GPIO 3] [73321236] LEVEL: 1 | EDGE: 1
[2026-02-15 15:32:32.851][GPIO 3] [83209539] LEVEL: 0 | EDGE: 0
[2026-02-15 15:32:42.813][GPIO 3] [93098049] LEVEL: 1 | EDGE: 1
[2026-02-15 15:32:52.612][GPIO 3] [102985806] LEVEL: 0 | EDGE: 0
[2026-02-15 15:33:02.544][GPIO 3] [112873903] LEVEL: 1 | EDGE: 1
[2026-02-15 15:33:12.509][GPIO 3] [122762110] LEVEL: 0 | EDGE: 0
[2026-02-15 15:33:16.912][GPIO 3] [127403761] LEVEL: 1 | EDGE: 1
[2026-02-15 15:33:19.208][GPIO 3] [129731519] LEVEL: 0 | EDGE: 0
[2026-02-15 15:33:20.087][GPIO 3] [130516800] LEVEL: 0 | EDGE: 0
[2026-02-15 15:33:49.885][GPIO 3] [9178812] LEVEL: 0 | EDGE: 0
[2026-02-15 15:33:59.817][GPIO 3] [19067168] LEVEL: 1 | EDGE: 1
[2026-02-15 15:34:09.647][GPIO 3] [28955885] LEVEL: 0 | EDGE: 0
[2026-02-15 15:34:19.582][GPIO 3] [38844325] LEVEL: 1 | EDGE: 1
[2026-02-15 15:34:29.383][GPIO 3] [48732212] LEVEL: 0 | EDGE: 0
[2026-02-15 15:34:39.625][GPIO 3] [58620079] LEVEL: 1 | EDGE: 1
[2026-02-15 15:34:49.276][GPIO 3] [68507492] LEVEL: 0 | EDGE: 0
[2026-02-15 15:34:59.106][GPIO 3] [78395228] LEVEL: 1 | EDGE: 1
[2026-02-15 15:35:08.924][GPIO 3] [88283083] LEVEL: 0 | EDGE: 0
[2026-02-15 15:35:18.860][GPIO 3] [98170555] LEVEL: 1 | EDGE: 1
[2026-02-15 15:35:28.802][GPIO 3] [108058101] LEVEL: 0 | EDGE: 0
[2026-02-15 15:35:38.632][GPIO 3] [117945687] LEVEL: 1 | EDGE: 1
[2026-02-15 15:35:48.565][GPIO 3] [127832993] LEVEL: 0 | EDGE: 0
[2026-02-15 15:35:58.395][GPIO 3] [137720449] LEVEL: 1 | EDGE: 1
[2026-02-15 15:36:08.327][GPIO 3] [147607755] LEVEL: 0 | EDGE: 0
[2026-02-15 15:36:18.135][GPIO 3] [157494529] LEVEL: 1 | EDGE: 1
[2026-02-15 15:36:28.091][GPIO 3] [167382068] LEVEL: 0 | EDGE: 0
[2026-02-15 15:36:37.893][GPIO 3] [177270029] LEVEL: 1 | EDGE: 1
[2026-02-15 15:36:47.853][GPIO 3] [187157641] LEVEL: 0 | EDGE: 0
[2026-02-15 15:36:57.786][GPIO 3] [197046102] LEVEL: 1 | EDGE: 1
[2026-02-15 15:37:07.616][GPIO 3] [206934356] LEVEL: 0 | EDGE: 0
[2026-02-15 15:37:17.549][GPIO 3] [216822501] LEVEL: 1 | EDGE: 1
[2026-02-15 15:37:27.361][GPIO 3] [226710735] LEVEL: 0 | EDGE: 0
[2026-02-15 15:37:37.313][GPIO 3] [236598476] LEVEL: 1 | EDGE: 1
[2026-02-15 15:37:47.113][GPIO 3] [246485651] LEVEL: 0 | EDGE: 0
[2026-02-15 15:37:57.074][GPIO 3] [256373581] LEVEL: 1 | EDGE: 1
[2026-02-15 15:38:06.877][GPIO 3] [266260499] LEVEL: 0 | EDGE: 0
[2026-02-15 15:38:16.839][GPIO 3] [276146822] LEVEL: 1 | EDGE: 1
[2026-02-15 15:38:26.771][GPIO 3] [286034005] LEVEL: 0 | EDGE: 0
[2026-02-15 15:38:36.600][GPIO 3] [295921129] LEVEL: 1 | EDGE: 1
[2026-02-15 15:38:46.508][GPIO 3] [305807445] LEVEL: 0 | EDGE: 0
[2026-02-15 15:38:56.363][GPIO 3] [315694718] LEVEL: 1 | EDGE: 1
[2026-02-15 15:39:06.296][GPIO 3] [325581793] LEVEL: 0 | EDGE: 0
[2026-02-15 15:39:16.102][GPIO 3] [335469453] LEVEL: 1 | EDGE: 1
[2026-02-15 15:39:26.060][GPIO 3] [345356553] LEVEL: 0 | EDGE: 0
[2026-02-15 15:39:35.863][GPIO 3] [355242913] LEVEL: 1 | EDGE: 1
[2026-02-15 15:39:45.823][GPIO 3] [365129818] LEVEL: 0 | EDGE: 0
[2026-02-15 15:39:55.625][GPIO 3] [375016571] LEVEL: 1 | EDGE: 1
[2026-02-15 15:40:05.687][GPIO 3] [384902814] LEVEL: 0 | EDGE: 0
